代码,触发日期,触发价,T+1开盘涨幅,最高冲击%,持有10日收益%,状态,名称
603668,2025-08-26,14.86,-2.42,0.0,-5.0,止损离场,天马科技
002543,2025-08-06,12.97,2.0,9.41,-1.7,持有期满,万和电气
002159,2025-07-24,16.18,0.06,1.24,-5.0,止损离场,三特索道
002320,2025-07-17,6.97,-0.29,28.69,16.64,持有期满,海峡股份
600730,2025-07-25,7.18,-0.42,22.14,14.07,持有期满,中国高科
603858,2025-08-28,20.02,0.9,0.95,-5.0,止损离场,步长制药
603528,2025-07-25,8.95,4.58,10.06,-1.68,持有期满,多伦科技
002283,2025-08-19,6.99,1.57,4.15,-5.0,止损离场,天润工业
002383,2025-12-16,10.62,-2.82,17.23,10.55,持有期满,合众思壮
003013,2025-08-25,16.28,-1.11,2.03,-5.0,止损离场,地铁设计
002439,2025-08-01,16.65,-0.06,3.24,-1.5,持有期满,启明星辰
603551,2025-09-08,13.11,0.0,5.87,-5.0,止损离场,奥普科技
002459,2025-09-04,13.5,-1.85,5.93,-5.0,止损离场,晶澳科技
002268,2025-08-21,19.37,-0.36,2.07,-5.0,止损离场,电科网安
000922,2025-07-21,11.73,4.86,20.97,-0.6,持有期满,佳电股份
600109,2025-07-11,9.56,1.26,1.26,0.0,持有期满,国金证券
002538,2025-10-27,5.72,0.0,16.26,13.99,持有期满,司尔特
000680,2025-07-21,9.99,0.8,12.61,-2.2,持有期满,山推股份
600026,2025-10-30,13.53,-1.63,1.63,-5.0,止损离场,中远海能
000702,2025-07-11,8.48,-5.07,0.0,-5.0,止损离场,正虹科技
000551,2025-12-22,12.53,2.08,33.12,33.12,持有期满,创元科技
600219,2025-07-21,4.06,0.0,3.45,-2.71,持有期满,南山铝业
600098,2025-09-01,6.88,-0.29,4.36,-0.87,持有期满,广州发展
000425,2025-07-21,8.74,0.0,9.84,-5.0,止损离场,徐工机械
600997,2025-07-22,6.39,1.72,2.35,-5.0,止损离场,开滦股份
000571,2025-09-25,5.32,-0.94,0.56,-5.0,止损离场,新大洲A
603079,2025-11-05,20.2,-0.5,8.91,3.71,持有期满,圣达生物
002596,2025-07-17,4.28,-3.04,19.39,-5.0,止损离场,海南瑞泽
002361,2025-07-29,6.91,1.3,9.26,5.64,持有期满,神剑股份
603231,2025-08-29,19.59,2.76,4.13,-5.0,止损离场,索宝蛋白
601179,2025-07-21,6.97,4.88,9.9,-5.0,止损离场,中国西电
601179,2025-10-27,7.68,-2.34,44.27,38.41,持有期满,中国西电
002671,2025-07-21,5.26,3.8,7.6,-5.0,止损离场,龙泉股份
603348,2025-10-10,23.54,-3.27,0.08,-5.0,止损离场,文灿股份
001324,2025-07-18,22.13,0.0,1.76,-5.0,止损离场,长青科技
002026,2025-08-04,13.53,0.0,5.4,3.99,持有期满,山东威达
600226,2025-08-18,3.2,2.19,24.69,19.69,持有期满,亨通股份
